YEAR,COUNTY,TOTAL,unmarried,married,divorce,widowed
105,臺北市,2695704,1152733,1239532,169457,133982
104,臺北市,2704810,1161830,1242540,167312,133128
103,臺北市,2702315,1166934,1239415,164697,131269
102,臺北市,2686516,1168223,1227712,161546,129035
101,臺北市,2673226,1171562,1216022,158760,126882
100,臺北市,2650968,1168189,1202257,155443,125079
99,臺北市,2618772,1169278,1174132,152013,123349
98,臺北市,2607428,1176144,1161978,147851,121455
97,臺北市,2622923,1188375,1170577,144323,119648
96,臺北市,2629269,1203229,1167573,141141,117326
